ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
18532943718,"16 mai 2026, 16:53:32","Du dénivelé, des crampes et des lasagnes 🌳🌲",Course à pied,"",2572,"5,23",,,false,,,activities/18532943718.gpx,,,2572.0,2206.0,5232.7,3.9,2.372,78.4,102.1,207.9,284.0,16.8,-0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5375.2,1778947200.0,1.0,14.1,13.4,5.7,0.57,1012.6,3.8,7.6,3.0,0.0,1778904573.0,1778958211.0,0.875,,,0.0,1.0,0.15,28883.0,2.0,,,,,,2.034,5057.9,,,,,0.0,,,,2.437,,,,,,,,,,,,media/9caaeb32-b385-4b5a-99e7-b4b632f8793c.jpg
18494325555,"13 mai 2026, 17:29:45",Au bout du rouleau 🍣,Course à pied,"",3184,"7,70",,,false,,,activities/18494325555.gpx,,,3184.0,3066.0,7704.4,8.54,2.513,10.2,6.6,166.6,174.3,28.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7749.7,1778691600.0,3.0,17.9,17.1,6.7,0.48,1008.7,2.5,6.0,278.0,0.0,1778645523.0,1778698991.0,0.875,,,0.0,1.0,0.64,29198.0,1.0,,,,,,2.42,3899.4,,,,,0.0,,,,2.528,,,,,,,,,,,,""
18329957804,"1 mai 2026, 09:28:21",Course à pied du midi,Course à pied,"",2731,"5,03",,,false,,,activities/18329957804.gpx,,,2731.0,2413.0,5032.5,4.9,2.086,106.0,106.8,970.5,1065.8,20.6,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5414.2,1777626000.0,2.0,14.7,14.7,7.5,0.62,1023.5,2.1,5.5,182.0,0.0,1777610049.0,1777661550.0,0.375,,,0.0,1.0,0.58,30141.0,3.0,,,,,,1.843,40.1,,,,,0.0,,,,2.244,,,,,,,,,,,,""
18240655494,"24 avr. 2026, 15:35:42",Afternoon Run,Course à pied,,1444,"3,62",,,false,,,activities/19343582340.fit.gz,,,1444.0,1444.0,3624.9,3.491,2.51,2.1,2.2,170.2,172.9,2.1,0.0,,,87.0,85.0,,,,,248.0,,,,,,,,,,,,,,,,0.0,,1.0,3627.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1592.1,,,,4074.0,0.0,,,,2.512,,,,,,,,,,,,""
18147084254,"17 avr. 2026, 15:40:22",Course à pied dans l'après-midi,Course à pied,"",2925,"7,06",,,false,,,activities/18147084254.gpx,,,2925.0,2880.0,7065.1,6.88,2.453,6.1,5.8,169.5,173.0,6.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7076.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.415,2498.1,,,,,0.0,,,,2.457,,,,,,,,,,,,""
18120905529,"15 avr. 2026, 16:26:59",Course à pied le soir,Course à pied,"",1555,"4,16",,,false,,,activities/18120905529.gpx,,,1555.0,1543.0,4165.5,7.44,2.7,2.4,3.3,170.2,174.1,2.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4166.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.679,2155.7,,,,,0.0,,,,2.7,,,,,,,,,,,,""
18030460351,"8 avr. 2026, 16:48:11",Course à pied le soir,Course à pied,"",2996,"6,06",,,false,,,activities/18030460351.gpx,,,2996.0,2972.0,6061.7,6.32,2.04,44.1,36.7,167.2,183.2,14.0,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6144.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.023,2632.2,,,,,0.0,,,,2.067,,,,,,,,,,,,""
18239753325,"12 mars 2026, 18:04:07",Evening Run,Course à pied,,2233,"5,24",,,false,,,activities/19342673514.fit.gz,,,2233.0,2233.0,5242.5,3.229,2.348,2.1,2.3,170.2,173.0,2.2,0.0,,,88.0,84.0,,,,,359.0,,,,,,,,,,,,,,,,0.0,,1.0,5246.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.348,2058.1,,,,6274.0,0.0,,,,2.349,,,,,,,,,,,,""
17533364294,"26 févr. 2026, 18:06:02",Evening Run,Course à pied,,1929,"4,70",,,false,,,activities/18630863086.fit.gz,,,1929.0,1923.0,4702.4,4.49,2.445,2.0,2.2,170.3,172.9,2.3,0.0,,,94.0,84.0,,,,,339.0,,,,,,,,,,,,,,,,0.0,,1.0,4705.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.438,1841.5,,,,5396.0,0.0,,,,2.447,,,,,,,,,,,,""
15718992129,"6 sept. 2025, 15:29:59",Course à pied dans l'après-midi,Course à pied,"",1839,"4,01",,,false,,,activities/15718992129.gpx,,,1839.0,1809.0,4013.4,11.667,2.219,2.7,2.5,170.5,173.5,4.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4021.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.182,1381.7,,,,,0.0,,,,2.223,,,,,,,,,,,,""
15493208677,"17 août 2025, 17:41:24",Course à pied le soir,Course à pied,"",1708,"3,97",,,false,,,activities/15493208677.gpx,,,1708.0,1659.0,3978.4,5.78,2.398,2.4,2.5,170.5,173.2,3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3981.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.329,1779.1,,,,,0.0,,,,2.4,,,,,,,,,,,,""
17119908454,"1 juin 2025, 19:06:59",Night Workout,Entraînement,,164,"0,09",,,false,,,activities/18214772582.fit.gz,,,164.0,164.0,93.6,4.64,0.571,0.0,0.0,0.0,0.0,0.0,0.0,,,64.0,55.0,,,,,12.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571,0.0,,,,,0.0,,,,,,86.0,,,,,,,,,,""
14516900057,"18 mai 2025, 08:34:16",Courir pour elles,Course à pied,"",4484,"10,09",,,false,,,activities/15489230524.fit.gz,,,4484.0,4474.0,10097.7,3.689,2.257,25.1,24.4,172.0,185.5,4.0,0.0,,,104.0,84.0,,,,,682.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10121.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.252,7203.4,,,,12398.0,,,,,2.262,,,,,,,,,,,,""
14412875357,"8 mai 2025, 07:18:19",Course à pied matinale,Course à pied,"",2637,"5,33",,,false,,,activities/14412875357.gpx,,,2637.0,2349.0,5330.7,11.24,2.269,5.7,5.7,170.0,174.6,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5340.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.022,2030.6,,,,,,,,,2.273,,,,,,,,,,,,""
14288868779,"26 avr. 2025, 08:27:11",Course à pied matinale,Course à pied,"",2715,"6,09",,,false,,,activities/14288868779.gpx,,,2715.0,2572.0,6098.2,9.18,2.371,3.9,3.9,170.7,174.9,4.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6101.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.246,2255.7,,,,,,,,,2.372,,,,,,,,,,,,""
14229686241,"20 avr. 2025, 07:14:05",Course à pied matinale,Course à pied,"",3911,"7,44",,,false,,,activities/14229686241.gpx,,,3911.0,3342.0,7444.8,7.94,2.228,167.1,167.1,263.3,344.3,43.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,8377.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.904,6122.3,,,,,,,,,2.507,,,,,,,,,,,,""
14175625124,"14 avr. 2025, 15:27:06",Course à pied dans l'après-midi,Course à pied,"",1751,"4,20",,,false,,,activities/14175625124.gpx,,,1751.0,1676.0,4203.9,6.84,2.508,5.7,5.7,170.7,174.4,3.4,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4212.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.401,1762.9,,,,,,,,,2.513,,,,,,,,,,,,""
12612892133,"9 oct. 2024, 10:32:04",Course à pied du midi,Course à pied,,3035,"5,38",,,false,,,activities/12612892133.gpx,,,3035.0,2405.0,5387.6,12.298,2.24,7.8,7.8,167.2,175.2,12.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5409.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.775,2913.2,,,,,,,,,2.249,,,,,,,,,,,,""
12204108849,"21 août 2024, 11:26:24",Course à pied dans l'après-midi,Course à pied,,1498,"3,41",,,false,,,activities/12204108849.gpx,,,1498.0,1467.0,3415.8,6.096,2.328,7.3,7.3,171.2,174.8,7.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3425.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.28,1768.0,,,,,,,,,2.335,,,,,,,,,,,,""
12203865464,"21 août 2024, 11:12:01",Course à pied dans l'après-midi,Course à pied,,570,"1,38",,,false,,,activities/12203865464.gpx,,,570.0,519.0,1389.0,6.471,2.676,0.0,0.0,172.5,174.6,1.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1388.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.437,49.2,,,,,,,,,2.675,,,,,,,,,,,,""
10420134634,"22 déc. 2023, 14:58:43",Course à pied dans l'après-midi,Course à pied,,1150,"2,77",,,false,,,activities/10420134634.gpx,,,1150.0,1065.0,2770.4,9.618,2.601,2.5,2.2,172.4,175.0,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2773.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.409,1005.7,,,,,,,,,,,,,,,,,,,,,""
10347691473,"8 déc. 2023, 12:14:19",Course à pied dans l'après-midi,Course à pied,,2646,"6,13",,,false,,,activities/10347691473.gpx,,,2646.0,2408.0,6129.6,7.084,2.546,3.6,4.2,171.7,175.3,3.3,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6134.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.317,865.4,,,,,,,,,,,,,,,,,,,,,""
10112864331,"27 oct. 2023, 11:28:35",Course à pied dans l'après-midi,Course à pied,,2881,"7,23",,,false,,,activities/10112864331.gpx,,,2881.0,2623.0,7236.9,33.911,2.759,15.5,13.8,165.6,178.5,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7286.6,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.512,1888.8,,,,,,,,,,,,,,,,,,,,,""
10076533301,"21 oct. 2023, 09:06:02",Course à pied du midi,Course à pied,,2422,"5,32",,,false,,,activities/10076533301.gpx,,,2422.0,2238.0,5322.9,8.186,2.378,4.5,4.8,172.2,175.3,3.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5327.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.198,2274.7,,,,,,,,,,,,,,,,,,,,,""
9855347122,"15 sept. 2023, 17:01:17",Course à pied le soir,Course à pied,,2067,"4,44",,,false,,,activities/9855347122.gpx,,,2067.0,1893.0,4448.7,6.922,2.35,2.5,2.2,172.2,174.8,6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4456.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.152,2254.0,,,,,,,,,,,,,,,,,,,,,""
9148516836,"27 mai 2023, 08:55:22",Course à pied matinale,Course à pied,,1954,"4,27",,,false,,,activities/9148516836.gpx,,,1954.0,1791.0,4270.3,9.242,2.384,8.1,8.1,172.0,176.1,6.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4284.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.185,1954.5,,,,,,,,,,,,,,,,,,,,,""
8976650332,"29 avr. 2023, 09:37:39",Course à pied du midi,Course à pied,,3616,"7,80",,,false,,,activities/8976650332.gpx,,,3616.0,3464.0,7803.1,10.228,2.253,9.3,11.5,168.2,179.0,5.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7816.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.158,4395.5,,,,,,,,,,,,,,,,,,,,,""
8902822198,"16 avr. 2023, 16:51:26",Course à pied le soir,Course à pied,,1181,"1,01",,,false,C'est dur sur le sable + le vent 😭🤡,,activities/8902822198.gpx,,,1181.0,510.0,1014.3,3.838,1.989,0.0,0.1,0.0,0.7,3.6,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1014.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.859,0.0,,,,,,,,,,,,,,,,,,,,,""
