"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782073018748";"La femme qui boit";"Andris Colette";"Gallimard";"2023-03-02";"2024-11-22 12:43:28";"Lu";"3.0"
"9782809716429";"Un matin légèrement nuageux";"Kawakami Hiromi";"Picquier";"2023-10-06";"2024-11-11 23:21:03";"Lu";"3.0"
"9782073059420";"Mes désirs futiles";"Zannoni Bernardo";"Folio";"2024-09-19";"2024-11-09 14:15:30";"Lu";"3.0"
"9782344064238";"Joe la pirate";"Hubert ";"Glénat BD";"2024-06-12";"2024-10-21 09:54:41";"Lu";"2.5"
"9782290312957";"Des fleurs pour Algernon";"Keyes Daniel";"J'ai lu";"2001-04-25";"2024-10-13 08:06:42";"Lu";"4.5"
"9782020217620";"Daddy's girl";"Inglis Janet";"Ed. du Seuil";"1995-05-10";"2024-10-04 10:34:41";"Lu";"3.0"
"9782290024003";"La chronique des Bridgerton, tome 4 : Colin";"Quinn Julia";"J'ai lu";"2010-05-02";"2024-09-20 12:47:43";"Lu";"1.5"
"9782290014394";"La chronique des Bridgerton, tome 3 : Benedict ";"Quinn Julia";"J'ai lu";"2009-10-07";"2024-09-16 15:09:19";"Lu";"3.0"
"9782290014387";"La chronique des Bridgerton, tome 2 : Anthony";"Quinn Julia";"J'ai lu";"2009-05-06";"2024-09-16 15:08:43";"Lu";"3.0"
"9782290349229";"L'Homme aux cercles bleus";"Vargas Fred";"J'ai lu";"2005-05-01";"2024-09-16 15:07:15";"Lu";"3.5"
"9782812616358";"Les bracassées ";"Roger Marie-Sabine";"Rouergue";"2018-08-22";"2024-09-08 21:08:31";"Lu";"4.0"
"9782290013915";"La chronique des Bridgerton, tome 1 : Daphné et le duc";"Quinn Julia";"J'ai lu";"2009-03-02";"2024-09-01 17:09:15";"Lu";"2.0"
"9782355843136";"La Fille du train";"Hawkins Paula";"Sonatine";"2015-05-01";"2024-08-22 09:45:47";"Lu";"3.5"
"9782896986330";"La version qui n'intéresse personne";"Pierrot Emmanuelle";"Le Quartanier";"2023-11-15";"2024-08-16 01:31:11";"Lu";"3.5"
"9782381960500";"Blackwater, tome 6 : Pluie";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-06-17";"2024-08-12 22:05:06";"Lu";"3.0"
"9782381960494";"Blackwater, tome 5 : La fortune";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-06-03";"2024-08-08 10:19:00";"Lu";"3.0"
"9782203276505";"Il y a longtemps que je t'aime";"Spénale Marie";"Casterman";"2024-03-20";"2024-08-06 14:04:42";"Lu";"4.0"
"9782505119777";"Je suis leur silence";"Lafebre Jordi";"Dargaud";"2023-10-13";"2024-08-06 14:03:15";"Lu";"3.5"
"9782381960487";"Blackwater, tome 4 : La guerre";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-05-19";"2024-08-06 14:01:58";"Lu";"2.5"
"9782381960470";"Blackwater, tome 3 : La maison";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-05-05";"2024-08-05 08:58:36";"Lu";"2.5"
"9791041412846";"Là où chantent les écrevisses";"Owens Delia";"Points";"2023-11-17";"2024-08-05 08:54:00";"Lu";"4.5"
"9782381960463";"Blackwater, tome 2 : La digue";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-04-22";"2024-07-31 07:45:24";"Lu";"3.0"
"9791033512493";"Eat, and love yourself";"Boo Sweeney";"Ankama";"2021-02-05";"2024-07-25 00:02:32";"Lu";"2.5"
"9782743661243";"Plasmas";"Minard Céline";"Rivages";"2023-10-04";"2024-07-24 15:46:55";"Lu";"2.0"
"9782344046265";"La Bibliothèque des Vampires, tome 1";"Boriau David";"Glénat BD";"2022-09-14";"2024-07-24 15:46:00";"Lu";"2.0"
"9791022613552";"Désarroi";"Hein Christoph";"Métailié";"2024-04-19";"2024-07-13 10:32:07";"Lu";"3.0"
"9782021502626";"Cinq petits Indiens";"Good Michelle";"Seuil";"2023-03-10";"2024-06-03 15:23:28";"Lu";"4.0"
"9782381960456";"Blackwater, tome 1 : La Crue";"McDowell Michael";"Monsieur Toussaint Louverture BD";"2022-04-07";"2024-06-02 09:22:16";"Lu";"3.0"
"9782246834670";"L'Enragé";"Chalandon Sorj";"Grasset";"2023-08-16";"2024-06-02 09:20:05";"Lu";"3.0"
"9782290391174";"La Femme de ménage";"McFadden Freida";"J'ai lu";"2023-10-04";"2024-06-02 09:19:28";"Lu";"5.0"
"9782743653682";"Bangkok déluge";"Sudbanthad Pitchaya";"Editions PAYOT & RIVAGES";"2021-08-25";"2024-05-28 18:47:54";"Lu";"0.0"
"9782080428431";"La Mauvaise habitude";"Portero Alana S.";"Flammarion";"2023-08-23";"2024-05-27 11:54:16";"Lu";"3.0"
"9782378762643";"Monstres ordinaires";"Price Steven";"De Saxus";"2023-03-30";"2024-05-15 19:26:48";"Lu";"3.0"
"9782818983829";"Le Dernier Quai ";"Delestret Nicolas";"Bamboo";"2023-04-26";"2024-05-05 10:50:39";"Lu";"4.0"
"9782370734709";"Les Dragons";"Colin Jérôme";"ALLARY";"2023-08-24";"2024-04-28 08:19:03";"Lu";"4.0"
"9782378561369";"Une mère éphémère";"Marsantes Emma";"Verdier";"2022-09-15";"2024-04-24 15:37:47";"Lu";"3.0"
"9791030706512";"Effacer";"Serraj Loubna";"Diable Vauvert";"2024-01-11";"2024-04-21 15:39:51";"Lu";"4.5"
"9782702181836";"Souviens-toi de ne pas mourir sans avoir aimé";"Oho Bambe Marc-Alexandre";"Calmann-Lévy";"2023-08-23";"2024-04-01 21:51:25";"Lu";"2.5"
"9782810218097";"Les Indésirables";"Hughes Kiku";"Rue de Sèvres";"2021-01-06";"2024-04-01 21:50:54";"Lu";"3.5"
"9781626722590";"Mes ruptures avec Laura Dean";"Tamaki Mariko";"First Second";"2019-05-07";"2024-03-23 09:09:32";"Lu";"4.5"
"9782848659718";"Couleurs";"Escallon Sylvain";"Sarbacane";"2017-03-01";"2024-03-22 15:11:08";"Lu";"4.0"
"9791034903146";"La cuillère";"Héricourt Dany";"Levi";"2020-08-27";"2024-03-22 15:10:07";"Lu";"3.5"
"9782413015598";"Love Corp";"Personne J.";"Delcourt";"2020-06-17";"2024-03-18 17:58:28";"Lu";"2.5"
"9782070601387";"Culottées, tome 1 (BD)";"Bagieu Pénélope";"Gallimard BD";"2016-09-22";"2024-03-04 22:28:46";"Lu";"0.0"
"9782203222403";"Push";"Heurtier Annelise";"Casterman";"2021-06-09";"2024-03-04 22:27:27";"Lu";"0.0"
"9782413020158";"Ollie et l'alien";"Bernard Florent";"Delcourt";"2020-09-16";"2024-03-02 19:11:32";"Lu";"3.0"
"9782019463090";"Les fleurs ne parlent pas";"Birds Natacha";"Les Insolentes (Hachette)";"2022-06-15";"2024-02-16 22:00:09";"Lu";"3.5"
"9782253941705";"Les douleurs fantômes";"Da Costa Mélissa";"Le Livre de Poche";"2023-02-01";"2023-12-25 21:37:52";"Lu";"2.5"
"9791041410705";"Évidemment Martha";"Mason Meg";"Points";"2023-05-12";"2023-11-17 17:00:58";"Lu";"4.5"
"9782203162815";"Enferme-moi si tu peux";"Pandolfo Anne-Caroline";"Casterman";"2019-05-01";"2023-09-17 22:43:55";"Lu";"3.0"
"9782843379307";"L'heure d'été";"Antoine Prune";"Anne Carrière";"2019-01-04";"2023-09-16 08:33:10";"Lu";"2.0"
"9782266098045";"Les versets sataniques";"Rushdie Salman";"Pocket";"2000-03-02";"2023-08-25 16:24:09";"Lu";"2.5"
"9782330139346";"Chavirer";"Lafon Lola";"Actes Sud";"2020-08-19";"2023-08-18 09:27:27";"Lu";"4.5"
"9782757888643";"Au printemps des monstres";"Jaenada Philippe";"Points";"2022-08-19";"2023-07-31 09:51:41";"Lu";"0.0"
"9782081444294";"On ne naît pas soumise, on le devient";"Garcia Manon";"Climats";"2018-10-03";"2023-07-31 09:51:06";"Lu";"0.0"
"9782019466558";"Fragments, rassembler les cœurs brisés";"Schenké Anaïs";"Les Insolentes (Hachette)";"2023-01-25";"2023-07-31 09:48:32";"Lu";"4.0"
"9782266287548";"Filles de la mer";"Bracht Mary Lynn";"Pocket";"2019-02-21";"2023-07-18 21:06:54";"Lu";"4.5"
"9782207139882";"Act Up";"Lestrade Didier";"Denoël";"2017-08-17";"2023-06-20 13:42:58";"Lu";"0.0"
"9782368460900";"Conduite interdite";"Wary Chloé";"STEINKIS";"2017-03-29";"2023-06-05 12:52:48";"Lu";"2.5"
"9782290374764";"Avant que le monde ne se ferme";"Mascaro Alain";"J'ai lu";"2023-02-22";"2023-06-05 12:51:18";"Lu";"3.5"
"9782234089495";"De feu et d'or";"Woodson Jacqueline";"Stock";"2021-03-10";"2023-05-10 09:32:10";"Lu";"2.5"
"9782369355359";"Déraillée";"Mouke Jo";"Le Passager Clandestin";"2022-10-06";"2023-05-01 11:01:56";"Lu";"2.5"
