"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782253137450";"L'Été de Cristal";"Kerr Philip";"Librairie générale française";"1995-05-01";"2021-08-14 17:18:13";"Lu";"0.0"
"9782253086499";"Un prisonnier modèle";"Cleave Paul";"Le Livre de Poche";"2017-02-01";"2021-08-09 10:06:18";"Lu";"2.0"
"9782253134190";"Un employé modèle";"Cleave Paul";"Le Livre de Poche";"2011-09-01";"2021-07-16 22:36:54";"Lu";"4.0"
"9782290239322";"Boza !";"Cabrel Ulrich";"J'ai lu";"2021-02-10";"2021-06-16 14:46:53";"Lu";"3.5"
"9782253066842";"Journal, tome 3 : On dirait qu'il va neiger";"Sevran Pascal";"Librairie générale française";"2004-02-11";"2021-06-15 10:07:00";"Lu";"0.0"
"9782070120642";"La meilleure part des hommes";"Garcia Tristan";"Gallimard";"2008-08-25";"2021-05-25 18:27:09";"Lu";"0.0"
"9782266158237";"La Roue du temps, tome 1";"Jordan Robert";"Pocket";"2005-10-17";"2021-05-16 13:02:42";"Lu";"0.0"
"9782738149527";"Le regret d'être mère";"Donath Orna";"Odile Jacob";"2019-11-20";"2021-05-16 13:01:19";"Lu";"3.0"
"9782226435897";"L'Outsider";"King Stephen";"Albin Michel";"2019-01-30";"2021-05-12 22:28:25";"Lu";"0.0"
"9782253078685";"Chère Mamie au pays du confinement";"Grimaldi Virginie";"Le Livre de Poche";"2020-10-28";"2021-05-12 15:47:35";"Lu";"2.0"
"9782253241485";"Mamie Luger";"Philippon Benoît";"Le Livre de Poche";"2020-03-25";"2021-05-10 14:23:42";"Lu";"4.0"
"9782264075048";"L'Empreinte";"Marzano-Lesnevich Alex";"10 X 18";"2020-01-02";"2021-04-27 14:27:53";"Lu";"4.0"
"9782253079903";"Les Lendemains";"Da Costa Mélissa";"Le Livre de Poche";"2021-02-03";"2021-04-24 14:57:06";"Lu";"4.0"
"9782203159624";"Betty Boob";"Cazot Véro";"Casterman";"2017-09-13";"2021-03-05 12:41:42";"Lu";"3.5"
"9782709635790";"Rien ne s'oppose à la nuit";"Vigan Delphine de";"J.-C. Lattès";"2011-08-24";"2021-02-26 19:13:06";"Lu";"4.0"
"9782344042700";"Mercy, tome 1 : La dame, le gel et le diable";"Andolfo Mirka";"Glénat BD";"2020-09-02";"2021-01-30 13:35:32";"Lu";"3.0"
"9782413022534";"Le jardin, Paris";"Geniller Gaëlle";"Delcourt";"2021-01-06";"2021-01-15 23:31:04";"Lu";"5.0"
"9782352047469";"Les profils emotionnels";"Davidson Richard J.";"Les Arènes";"2018-05-16";"2021-01-11 09:39:20";"Lu";"0.0"
"978B08P5ZSN68";"Tout ce qui reste de nous";"Valero-O'Connell Rosemary";"Dargaud";"2021-01-08";"2021-01-11 09:38:34";"Lu";"3.5"
"9782266261586";"La vie est facile, ne t'inquiète pas";"Martin-Lugand Agnès";"Pocket";"2016-06-02";"2021-01-02 22:34:18";"Lu";"2.0"
"9782266243537";"Les gens heureux lisent et boivent du café";"Martin-Lugand Agnès";"Pocket";"2014-06-05";"2020-12-31 09:01:42";"Lu";"3.0"
"9782344033449";"Radium Girls";"Cy ";"Glénat BD";"2020-08-28";"2020-12-30 19:08:06";"Lu";"3.5"
"9782756004709";"Trois ombres";"Pedrosa Cyril";"Delcourt";"2007-09-06";"2020-11-30 23:03:19";"Lu";"3.5"
"9782205077025";"Les filles de Salem";"Gilbert Thomas";"Dargaud";"2018-09-21";"2020-11-09 12:54:56";"Lu";"3.0"
"9782072688737";"La salle de bal";"Hope Anna";"Editions Gallimard";"2017-08-17";"2020-10-31 10:31:54";"Lu";"0.0"
"9782203208766";"Polina";"Vivès Bastien";"Casterman";"2020-06-17";"2020-10-17 10:48:55";"Lu";"2.5"
"9782260054337";"Quand on parle du diable";"Denize Joseph";"Julliard";"2020-01-02";"2020-10-08 19:02:09";"Lu";"0.0"
"9782505086055";"Aristophania, tome 2 : Progredientes";"Dorison Xavier";"Dargaud Benelux";"2019-10-31";"2020-10-04 10:17:49";"Lu";"2.0"
"9782226175090";"Violences conjugales en guise d'amour";"Daligand Liliane";"Editions Albin Michel";"2006-11-01";"2020-10-03 18:31:21";"Lu";"0.0"
"9782505081500";"Malgré tout";"Lafebre Jordi";"Dargaud";"2020-09-25";"2020-09-27 21:14:38";"Lu";"5.0"
"9782203161917";"Anaïs Nin sur la mer des mensonges ";"Bischoff Léonie";"Casterman";"2020-08-26";"2020-09-25 06:56:27";"Lu";"4.0"
"9782505067108";"Petite maman";"Mahmoudi Halim";"Dargaud";"2017-09-29";"2020-09-20 10:15:03";"Lu";"3.5"
"9782756026725";"La Page blanche";"Boulet ";"Delcourt";"2012-01-18";"2020-09-20 09:34:20";"Lu";"3.0"
"9782369819271";"La nuit est mon royaume";"Fauvel Claire";"Rue de Sèvres";"2020-02-19";"2020-09-19 15:48:20";"Lu";"4.0"
"9782212121155";"L'illustration Fantasy";"Lippincott Gary A.";"Eyrolles";"2007-09-27";"2020-09-19 00:21:02";"Lu";"3.5"
"9782366400076";"Un léger bruit dans le moteur";"Munoz Jonathan";"Physalis";"2012-08-01";"2020-09-14 22:55:55";"Lu";"2.5"
"9782505070047";"Aristophania, tome 1 : Royaume d'Azur";"Dorison Xavier";"Dargaud";"2019-01-18";"2020-09-12 12:19:43";"Lu";"3.0"
"9782505070382";"Un petit goût de noisette, tome 2 : Et de fruits rouges";"Vanyda ";"Dargaud";"2019-04-12";"2020-09-06 13:53:10";"Lu";"4.5"
"9782505060000";"Un petit goût de noisette, tome 1";"Vanyda ";"Dargaud";"2014-01-24";"2020-09-06 13:51:58";"Lu";"4.5"
"9782205074970";"Desseins";"Pont Olivier";"Dargaud";"2015-10-23";"2020-09-05 15:43:08";"Lu";"4.0"
"9782756039718";"Mauvais genre";"Cruchaudet Chloé";"Delcourt";"2013-09-18";"2020-09-05 14:16:05";"Lu";"3.5"
"9782501070034";"Le silence des étoiles";"K. Sanäa";"MARAbulles";"2019-05-15";"2020-09-04 11:10:59";"Lu";"4.0"
"9782205062656";"Le signe de la Lune";"Bonet Enrique";"Dargaud";"2009-10-02";"2020-09-02 23:29:47";"Lu";"4.0"
"9782072849978";"Une machine comme moi";"McEwan Ian";"Gallimard";"2020-01-09";"2020-08-30 21:46:45";"Lu";"2.5"
"9782849533666";"Dans les vestiaires";"Le Boucher Timothé";"La Boîte à Bulles";"2020-06-24";"2020-08-20 16:38:52";"Lu";"3.0"
"9782266198356";"Da Vinci Code";"Brown Dan";"Pocket";"2009-07-02";"2020-08-05 19:02:08";"Lu";"4.0"
"9782381330020";"Teen Titans : Raven";"Garcia Kami";"Urban Link";"2020-05-15";"2020-06-28 23:01:22";"Lu";"3.5"
"9782253237082";"Famille parfaite";"Gardner Lisa";"Le Livre de Poche";"2018-01-03";"2020-06-28 23:00:24";"Lu";"4.0"
"9782070374809";"Sa majesté des mouches";"Golding William";"Gallimard";"1983-06-14";"2020-06-28 22:59:33";"Lu";"2.5"
"9782290207741";"Salut à toi ô mon frère";"Ledun Marin";"J'ai lu";"2019-05-15";"2020-04-26 10:43:35";"Lu";"4.0"
"9782253238027";"Changer l'eau des fleurs";"Perrin Valérie";"Le Livre de Poche";"2019-04-24";"2020-04-22 13:22:02";"Lu";"4.0"
"9782360121205";"C'est comme ça que je disparais";"Malle Mirion";"La ville brûle";"2020-01-17";"2020-04-06 21:31:22";"Lu";"4.0"
"9782205057331";"Le retour à la terre, Tome 1 : La Vraie Vie";"Ferri Jean-Yves";"Dargaud";"2005-01-21";"2020-03-10 22:02:02";"Lu";"4.0"
"9782700233032";"Les mondes d'Ewilan, tome 2 : L'oeil d'Otolep";"Bottero Pierre";"Rageot";"2007-03-28";"2020-03-10 21:59:25";"Lu";"0.0"
"9782700233049";"Les mondes d'Ewilan, tome 3 : Les tentacules du mal";"Bottero Pierre";"Rageot";"2007-05-09";"2020-03-10 21:59:03";"Lu";"0.0"
"9782700233025";"Les mondes d'Ewilan, tome 1 : La forêt des captifs";"Bottero Pierre";"Rageot";"2007-02-14";"2020-02-21 12:13:57";"Lu";"0.0"
"9782700231922";"La Quête d'Ewilan, tome 3 : L'île du destin";"Bottero Pierre";"Rageot";"2006-06-14";"2020-02-21 12:13:04";"Lu";"0.0"
"9782700231915";"La Quête d'Ewilan, tome 2 : Les frontières de glace";"Bottero Pierre";"Rageot";"2006-05-17";"2020-02-14 07:35:17";"Lu";"0.0"
"9782700231700";"La Quête d'Ewilan, tome 1 : D'un monde à l'autre";"Bottero Pierre";"Rageot";"2006-03-01";"2020-02-10 13:45:09";"Lu";"0.0"
"9782021318494";"Éclipses japonaises";"Faye Éric";"Seuil";"2016-08-18";"2020-02-05 22:43:56";"Lu";"3.5"
"9782742771905";"Le Mec de la tombe d'à côté ";"Mazetti Katarina";"Actes Sud";"0000-00-00";"2020-01-21 18:39:48";"Lu";"2.5"
"9782070391653";"L'Élégance du hérisson";"Barbery Muriel";"Gallimard";"0000-00-00";"2020-01-21 18:38:39";"Lu";"0.0"
"9782072832574";"Fugitive parce que reine";"Huisman Violaine";"Folio";"2019-04-04";"2020-01-16 09:02:00";"Lu";"4.0"
"9780393253696";"Experience on demand";"Bailenson Jeremy";"WW Norton & Co";"2018-01-30";"2020-01-13 14:18:11";"Lu";"3.5"
"9782356715111";"Théorie de la réalité virtuelle";"Fuchs Philippe";"Transvalor - Presses des mines";"2018-05-03";"2020-01-13 10:51:28";"Lu";"0.0"
"9782253067948";"Le Secret du mari";"Moriarty Liane";"Le Livre de Poche";"2016-04-06";"2020-01-12 09:48:18";"Lu";"3.5"
"9782070196678";"Chanson douce";"Slimani Leïla";"Gallimard";"2016-08-18";"2019-12-29 00:58:53";"Lu";"4.5"
"9782075093866";"La Passe-Miroir, tome 4 : La tempête des échos";"Dabos Christelle";"GALLIMARD JEUNE";"2019-11-28";"2019-12-22 10:05:38";"Lu";"3.5"
"9782221192092";"C'est le coeur qui lâche en dernier";"Atwood Margaret";"Robert Laffont";"2017-08-17";"2019-12-22 09:53:32";"Lu";"4.0"
"9782075108829";"Dans un rayon de soleil";"Walden Tillie";"Gallimard Jeunesse";"2019-01-16";"2019-12-14 12:56:43";"Lu";"4.0"
"9782203147164";"Une soeur";"Vivès Bastien";"Casterman";"2017-05-03";"2019-11-30 15:49:54";"Lu";"3.5"
"9782369810889";"Cet été là";"Tamaki Jillian";"Rue de Sèvres";"2014-05-14";"2019-11-30 15:49:25";"Lu";"2.5"
"9782330126209";"Les Vermeilles";"Jourdy Camille";"Actes Sud BD";"2019-10-02";"2019-11-30 15:40:36";"Lu";"3.0"
"9782365352512";"Goupil ou face";"Lubie Lou";"VRAOUM EDITIONS";"2016-10-12";"2019-11-28 08:19:46";"Lu";"4.5"
"9782413022138";"Moi en double";"Navie Mademoiselle";"Delcourt";"2019-05-02";"2019-11-28 08:16:53";"Lu";"0.0"
"9782368452578";"Les planches pourries";"Noel Samuel";"IS Edition";"2018-06-01";"2019-11-20 18:11:42";"Lu";"2.0"
"9782072837845";"Le Lambeau";"Lançon Philippe";"Gallimard";"2019-03-07";"2019-10-08 15:13:18";"Lu";"4.0"
"9782075120951";"La Passe-Miroir, tome 3 : La mémoire de Babel";"Dabos Christelle";"Gallimard Jeunesse";"2019-05-16";"2019-10-07 20:43:02";"Lu";"4.0"
"9782070661985";"La Passe-Miroir, tome 2 : Les disparus du Clairdelune";"Dabos Christelle";"Gallimard";"2015-10-29";"2019-09-23 16:28:54";"Lu";"4.0"
"9782070653768";"La Passe-Miroir, tome 1 : Les fiancés de l'hiver";"Dabos Christelle";"Gallimard Jeunesse";"2013-06-06";"2019-09-14 11:55:52";"Lu";"4.0"
"9782970016564";"Pilules bleues";"Peeters Frederik";"Atrabile";"2001-11-05";"2019-09-13 11:10:59";"Lu";"3.5"
"9782330048556";"La fabrique des imposteurs";"Gori Roland";"Actes Sud Editions";"2015-04-08";"2019-08-12 20:00:23";"Lu";"0.0"
"9782266296434";"Petite";"Gysler Sarah";"Pocket";"2019-06-06";"2019-08-06 01:16:58";"Lu";"4.0"
"9782020257800";"L'oeuvre de Dieu, la part du diable";"Irving John";"Ed. du Seuil";"1995-09-02";"2019-08-05 18:22:49";"Lu";"3.5"
"9782072528927";"L'Amour et les Forêts";"Reinhardt Eric";"Editions Gallimard";"2014-08-21";"2019-08-05 11:17:55";"Lu";"4.0"
"9782072790911";"Fahrenheit 451";"Bradbury Ray";"Gallimard";"2018-07-12";"2019-08-05 11:16:45";"Lu";"3.5"
"9782070360284";"Voyage au bout de la nuit";"Céline Louis-Ferdinand";"Gallimard";"1972-02-16";"2019-08-05 11:13:12";"Lu";"0.0"
"9782351781685";"My Absolute Darling";"Tallent Gabriel";"Gallmeister";"2018-03-01";"2019-08-05 11:11:34";"Lu";"4.5"
"9782072830310";"Rêves de machines";"Hall Louisa";"Folio";"2019-02-07";"2019-08-05 11:05:54";"Lu";"4.0"
"9782355363252";"Tout le bleu du ciel";"Da Costa Mélissa";"Carnets Nord";"2019-02-15";"2019-07-15 15:03:31";"Lu";"4.5"
"9782070408504";"Le Petit Prince";"Saint-Exupéry Antoine de";"Gallimard";"1999-02-23";"2019-07-13 12:48:24";"Lu";"3.0"
"9782702139752";"Robe de marié";"Lemaitre Pierre";"Calmann-Lévy";"2009-01-07";"2019-07-11 10:55:38";"Lu";"5.0"
"9782258118638";"Maman a tort";"Bussi Michel";"Presses de la Cité";"2015-05-07";"2019-07-10 12:17:56";"Lu";"4.0"
"9782253122111";"King Kong Théorie";"Despentes Virginie";"Librairie générale française";"2007-09-28";"2019-07-10 11:20:35";"Lu";"3.0"
"9782910188139";"L'Alchimiste";"Coelho Paulo";"A. Carrière";"1994-03-16";"2019-07-09 11:14:40";"Lu";"3.0"
"9782358872713";"Né d'aucune femme";"Bouysse Franck";"La manufacture des livres";"2019-01-10";"2019-07-08 22:01:46";"Lu";"4.0"
"9782843374708";"L'homme qui voulait être heureux";"Gounelle Laurent";"A. Carrière";"2008-02-13";"2019-07-08 18:51:01";"Lu";"2.0"
"9782070368228";"1984";"Orwell George";"Gallimard";"1950-11-16";"2019-07-08 18:40:29";"Lu";"4.0"
"9782344028070";"Le Patient";"Le Boucher Timothé";"Glénat BD";"2019-04-10";"2019-07-08 18:33:50";"Lu";"4.0"
"9782344034545";"Ces jours qui disparaissent ";"Le Boucher Timothé";"Glénat BD";"2019-04-17";"2019-07-08 18:31:36";"Lu";"5.0"
"9782413020707";"La vie moderne";"Bernardo Livio";"Delcourt";"2019-04-03";"2019-07-08 18:31:24";"Lu";"3.0"
"9782413020578";"Tout va bien";"Genmor Charlie";"Delcourt";"2019-03-20";"2019-07-08 18:31:14";"Lu";"4.5"
"9782366244106";"Pour l'amour de Dieu, Marie !";"Sarson Jade";"Cambourakis";"2019-03-01";"2019-07-08 18:31:07";"Lu";"3.5"
"9782246813880";"La Tresse";"Colombani Laetitia";"Grasset";"2017-05-10";"2019-07-08 18:30:54";"Lu";"4.0"
"9782072574795";"Réparer les vivants";"Kerangal Maylis de";"Editions Gallimard";"2015-05-13";"2019-07-08 18:30:46";"Lu";"4.5"
"9782070782369";"En attendant Bojangles";"Bourdeaut Olivier";"Folio";"2017-05-04";"2019-07-08 18:30:29";"Lu";"4.0"
"9782501133043";"La Fille dans l'écran";"Lubie Lou";"MARAbulles";"2019-01-09";"2019-07-08 18:28:17";"Lu";"4.5"
"9782823614480";"L'Homme-dé";"Rhinehart Luke";"L'Olivier";"2018-12-06";"2019-07-08 18:27:00";"Lu";"3.5"
